## ARTICLE EIGHT - WAGES, BENEFITS &amp; MONETARY CONDITIONS

8.01 Wage Rates and Fringe Benefits shall be in accordance with the following schedules:

## 8.01 (a) Industrial Work Local 488

| Effective Date                                                                                            | Base Rate VP& SHP                                                                                         | Hourly Rate (Base Rate +                                                                                  | ISIT (Earned)                                                                                             | H&W (Earned)                                                                                              | Pension (Earned)                                                                                          | Training (Earned)                                                                                         | SBTF (Earned)                                                                                             | UAW&O (Worked)                                                                                            | Total Wage                                                                                                |                                                                                                           |
|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------|
| General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    | General Foreman (ICCS)                                                                                    |
| 04-May-25                                                                                                 | $65.61 $6.56                                                                                              | $72.17                                                                                                    | $0.15                                                                                                     | $2.70                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $82.73                                                                                                    |                                                                                                           |
| 03-May-26                                                                                                 | $66.71 $6.67                                                                                              | $73.38                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $84.19                                                                                                    |                                                                                                           |
| 02-May-27                                                                                                 | $68.06 $6.81                                                                                              | $74.87                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $85.68                                                                                                    |                                                                                                           |
| 07-May-28                                                                                                 | $69.90 $6.99                                                                                              | $76.89                                                                                                    | $0.15                                                                                                     | $3.20                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $87.95                                                                                                    |                                                                                                           |
| General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           | General Foreman                                                                                           |
| 04-May-25                                                                                                 | $64.11 $6.41                                                                                              | $70.52                                                                                                    | $0.15                                                                                                     | $2.70                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $81.08                                                                                                    |                                                                                                           |
| 03-May-26                                                                                                 | $65.21 $6.52                                                                                              | $71.73                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $82.54                                                                                                    |                                                                                                           |
| 02-May-27                                                                                                 | $66.56 $6.66                                                                                              | $73.22                                                                                                    | $0.15                                                                                                     | $2.95                                                                                                     | $6.60                                                                                                     | $0.91                                                                                                     | $0.05                                                                                                     | $0.15                                                                                                     | $84.03                                                                                                    |                                                                                                           |
